cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,copy_player,starting_distance_network,network_distance,clique_1_distance,clique_2_distance,clique_3_distance,clique_4_distance,clique_5_distance
5.0,93.0,8.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.4274050192720944,0.7749295963998765,0.6454279827587466,0.6207484297275203,0.5833329393347522,0.617684920631993,0.6242125034601195
5.0,94.0,7.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.3665527473562733,0.7603593195004887,0.6302731275021756,0.6455786472811388,0.606209131716898,0.5931375208078207,0.6190913511100695
5.0,95.0,9.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.413709674330525,0.8113571701959538,0.6307905428150806,0.6257140838921096,0.6206093967334074,0.6374398100569135,0.6185714041281438
5.0,96.0,5.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.4163478665428637,0.7332535884048946,0.6230804077203576,0.5965342356167075,0.5870086597380035,0.6000542536367413,0.5961847993424411
5.0,97.0,10.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.3669754592873145,0.8274432891005195,0.6196469741801892,0.6247511997466125,0.624089964370746,0.620583244917916,0.5966805879091619
5.0,98.0,9.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.4031131736730935,0.7998061549986694,0.6286631846821485,0.6400745105387189,0.6271288285230192,0.6308117837470815,0.6116907259708708
5.0,99.0,9.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.4464359879250064,0.78957836407166,0.6109945995669533,0.5998547155316043,0.6093612665771598,0.6160422766040717,0.6303999698091585
5.0,100.0,8.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.4329519404791733,0.7631802320436836,0.6145128306880597,0.5860539148500178,0.6464532054139338,0.5813074873785019,0.5908375980284462
5.0,101.0,7.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.381471069121266,0.7580341254010712,0.6296940719208407,0.5854317427228906,0.6309401503442018,0.6159743396068372,0.5956677614908388
5.0,102.0,10.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.4100800666585585,0.783584758221638,0.5806039144492938,0.6448681364778619,0.6115769727507512,0.6166229010492421,0.6162826780529898
5.0,103.0,7.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.3860269503508595,0.7450517017202594,0.6057903748666552,0.6251049511620851,0.6351484249044731,0.6436556795169919,0.6356366087486963
