cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,starting_distance_network,network_distance,clique_1_distance,clique_2_distance
2.0,141.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4164906235843704,0.7022471263247345,0.5913660231402772,0.6206805853383862
2.0,142.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4371982380325226,0.6662297678136633,0.6039300937408659,0.6168654521072501
2.0,143.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3695801610938507,0.6373595725012425,0.5638165323113254,0.6015782128664474
2.0,144.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3797251061202416,0.6751790611049501,0.6248159933412148,0.6193251677500985
2.0,145.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.388062912124572,0.680796408554545,0.6026319495513315,0.5955882900330414
2.0,146.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3964422077168117,0.662207713023616,0.5896409470041812,0.61688144363485
2.0,147.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3655728360303074,0.6640950469005897,0.6090252418959621,0.598367400429809
2.0,148.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.477241678822099,0.6650091164277717,0.5994675482538819,0.5778155702625082
2.0,149.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3982234599578045,0.6508093570495084,0.6093223312228063,0.6015901973524328
2.0,150.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4552600836799776,0.6684605850399968,0.5924875487149488,0.6044027788105634
2.0,151.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.396887352760328,0.6782791777259035,0.5999869020728336,0.5860621731137304
2.0,152.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3749711405775393,0.6767736344412959,0.5966645115133195,0.6027554588526322
2.0,153.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3942693132354376,0.6891954061863976,0.6175971512922775,0.6095942394440461
2.0,154.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.5387276878513614,0.6385052624174232,0.5890706950518756,0.5873079558817974
2.0,155.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3395752561012553,0.6639537790038647,0.617641404819994,0.591410197689872
2.0,156.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.45344583172879,0.7118788316695696,0.6315927758245091,0.6313867470591228
2.0,157.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4413184371267542,0.6969311227247,0.6121755465638277,0.6150439842166047
2.0,158.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4472367861140056,0.6440668579904903,0.6012549450440136,0.5965374358840226
2.0,159.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.415221336083905,0.6877672941785448,0.5986465648760545,0.6169300431119157
2.0,160.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3497734386990534,0.6678235095365129,0.5991450692722876,0.6233624856025652
2.0,161.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4280696439994927,0.6836965537647463,0.6110148749931139,0.6157819736693838
2.0,162.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4164397036816374,0.6617265780446753,0.5999867998316604,0.6006459104786839
2.0,163.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3732118207202464,0.6835813448403999,0.6011585618253656,0.6344154133106457
2.0,164.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.379532277853751,0.704469623311487,0.62742081309871,0.6350758209780636
2.0,165.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3737613791553556,0.6940053048704636,0.6149658098870127,0.6396457264328809
2.0,166.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4015727748173474,0.6558514846557835,0.5644286623578277,0.6235073935513931
2.0,167.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3570117784875637,0.6658488766817421,0.6174715380055048,0.5994592564940321
2.0,168.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.386102460846724,0.6639355884282899,0.5834419851702738,0.6230633223670574
2.0,169.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4082470015676094,0.675030991944749,0.6289214538091481,0.6233625917409322
2.0,170.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3885340736278633,0.646200885969265,0.603865082121937,0.5886254969193182
2.0,171.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4452431929299876,0.6714779388656454,0.5908903828234329,0.6365192769799686
2.0,172.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3703544425144485,0.6977351507046425,0.6088007874796987,0.6054647985194233
2.0,173.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.430972393886827,0.6460447307175619,0.6210722473680066,0.5905122064152295
2.0,174.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4285615786562733,0.6985536254184384,0.6227524153085378,0.6389244395930821
2.0,175.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.459521896027981,0.6893118723542091,0.6218440887949656,0.6339919686711408
2.0,176.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.416950855284223,0.6711951012913594,0.6057062900491762,0.6267260716387472
2.0,177.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.366041674008304,0.7079427634645318,0.6220806951901405,0.6167838261836737
