cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,starting_distance_network,network_distance,clique_1_distance,clique_2_distance,clique_3_distance,clique_4_distance
4.0,28.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3800463317619007,0.7341142762808043,0.6160474732884241,0.5969330038391638,0.5608581541106245,0.6028769897449142
4.0,29.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3263051862759454,0.7540564300297431,0.6229741458664687,0.5849209050338137,0.5975193826777542,0.6088070234278167
4.0,30.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.439506850160709,0.7383819919905118,0.5878586786156961,0.587493793263144,0.632580975347412,0.6290707306856513
4.0,31.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.408991592161305,0.7726092376530869,0.6333316799406961,0.6257769033640149,0.6139269227441299,0.5801945719111853
4.0,32.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3906410821231026,0.7067743452155165,0.6062340756134271,0.6323612212759906,0.6160134280895659,0.5820467912253007
4.0,33.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.365899798726159,0.8124838554924754,0.6286678611560815,0.6300522017899478,0.6286422019407667,0.6397068137755038
4.0,34.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3686397651644513,0.7519971185195722,0.6225932160724146,0.5927503673551195,0.658069546209715,0.6615611740101298
4.0,35.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4284973266607053,0.7690942398541428,0.6406161369850681,0.6072725998790124,0.605923253137186,0.6720734051536915
4.0,36.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.403056199143029,0.7479762850256121,0.5891067212580606,0.6088233414938445,0.6053986112509364,0.5992443087721236
4.0,37.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.39008517859375,0.7781693397125706,0.6193909032779287,0.6278258141619428,0.6409404438162636,0.6142614951981642
4.0,38.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4361948917456635,0.7658527253439328,0.607681977001916,0.5904287618311919,0.6355384985291276,0.6158181607030294
4.0,39.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4258474277974282,0.7281676675962149,0.593649442985298,0.638577310528426,0.5868545404320187,0.6055791129844306
4.0,40.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4012213108736,0.7463263181123597,0.6340627190890501,0.5841617157060738,0.6142273395216246,0.5982905562857301
4.0,41.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3675644719386715,0.8154610097778584,0.5904191313576681,0.6646744735812314,0.6401945135282875,0.5716482682271704
4.0,42.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.476137107868754,0.7321788979582191,0.5966743665580706,0.5959959435395693,0.595744644148708,0.6347218308392956
4.0,43.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.339200762567745,0.7232533268625976,0.6244627346901069,0.6466584568695439,0.6100936603908661,0.5628094051150431
4.0,44.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3815236492346017,0.7583085515332378,0.6032818900634402,0.6566843525960225,0.6111449270827423,0.6391556386126634
4.0,45.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.5153285888909607,0.7751414319737404,0.6181532515037581,0.5891225108194995,0.5978769407718317,0.5976059563820973
4.0,46.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3587458472378735,0.8095219858060154,0.6220500469977842,0.6485179987474882,0.5944507359332721,0.6361053430425471
4.0,47.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4389890619309282,0.7944766804018386,0.6265113638540841,0.6181787752813612,0.6312394376711186,0.6175430227207214
4.0,48.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3983352713660175,0.7680157591780943,0.5913621591071726,0.5983611358756592,0.6094141451979144,0.607742556175534
4.0,49.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3743093346112203,0.7416582517321444,0.6004958232036726,0.6349686821870352,0.607711019780165,0.619757622530488
