cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,starting_distance_network,network_distance,clique_1_distance,clique_2_distance,clique_3_distance
3.0,76.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4603409922818362,0.7539616499754566,0.6312101985129229,0.6059649386583088,0.6286692262314234
3.0,77.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.419558611301745,0.7408465887255186,0.6003602141539012,0.6303501265070203,0.6141440459826688
3.0,78.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.392592074495163,0.70209803057328,0.6111795749136409,0.6151160576621689,0.5748463269317149
3.0,79.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.329709718019658,0.6727148591173091,0.6246152043743479,0.5783385079791731,0.5582317503683433
3.0,80.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4048033636254535,0.7252268708167564,0.6095243388659953,0.6549399757764743,0.5973502525937936
3.0,81.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.43933121610852,0.6998766958081751,0.6084492939804745,0.6249850653698299,0.6194551915685956
3.0,82.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.356733036947971,0.7351111494493509,0.5962353021606047,0.6153125735147682,0.6464864802780738
3.0,83.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.452086348938148,0.7323985400069526,0.5864176388947611,0.6231171296984763,0.6253198347590162
3.0,84.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4112571238269878,0.682801972879448,0.585432377609998,0.5797421930667068,0.5925345765281461
3.0,85.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4633169632573155,0.7315313121332785,0.5736722621106328,0.60234236986848,0.6059108777167831
3.0,86.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3975227976754034,0.7165339468642987,0.5727359734046711,0.6062460121520798,0.6265637547580386
3.0,87.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.383323213990548,0.7340814318182396,0.601453243032939,0.6073570110643105,0.6379370760806328
3.0,88.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4398826353597483,0.7251653364492296,0.6096457849854495,0.6081955089008149,0.6228678710035828
3.0,89.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3923072650311106,0.7626153772138395,0.6446378437144427,0.6342279957314491,0.6358629509575202
3.0,90.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.298809454662767,0.6860750509325672,0.6043245893674668,0.5923572769971175,0.5531949392561522
3.0,91.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.405094985220333,0.7345614304578876,0.605300187126609,0.6017639126510751,0.6276590036572073
3.0,92.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4073765834178826,0.7502773147748643,0.6131601863501912,0.6194574149955674,0.6087631754926601
3.0,93.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4270600496554655,0.6943896466665482,0.6309338967839785,0.6030963295560027,0.5906697110175881
3.0,94.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4050950411307532,0.726838910186594,0.6087351050354909,0.6362870927448891,0.6156273226076979
3.0,95.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4137633985723523,0.7373778600760756,0.6029143930634391,0.6049350711681767,0.5800884322047813
3.0,96.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4311218747421273,0.6954351269421872,0.5988829096541805,0.6075336428303257,0.584532196430709
3.0,97.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.362088362464498,0.728907680743048,0.5920879406071452,0.6096310540110098,0.6160178679615934
3.0,98.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.436698214752433,0.7461777839961657,0.5818281395007328,0.6112617642859376,0.6418781368893791
3.0,99.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.335185613731529,0.7214486194472297,0.6070738179263608,0.5742239694195915,0.6157041399628902
3.0,100.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3852872158336256,0.7560573133587112,0.6079260363952109,0.6106066561715842,0.6155481954172769
3.0,101.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.405067094768631,0.6661198632413626,0.6046005666212616,0.6143313115401359,0.5871399043817893
3.0,102.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4158975504893543,0.732700892750374,0.6366200521263311,0.5998407628653998,0.602924762147005
3.0,103.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3663808508771447,0.7050883079744097,0.6069309932004329,0.6076789699416839,0.592248351572554
